Top skills (count / share of job posts mentioning the skill)
Updated: 2026-07-16
Total job posts: 3

Rank  Name                                       Count     Share
----------------------------------------------------------------
1     Data visualization                             2     66.7%
2     Looker                                         2     66.7%
3     SQL                                            2     66.7%
4     Tableau                                        2     66.7%
5     2+ years analytics experience                  1     33.3%
6     A/B testing                                    1     33.3%
7     AI tools usage                                 1     33.3%
8     Advanced SQL/Python/R                          1     33.3%
9     Airflow                                        1     33.3%
10    Analytical role experience                     1     33.3%
11    BI tools                                       1     33.3%
12    Bias to action                                 1     33.3%
13    Complex data models in SQL (Snowflake)         1     33.3%
14    Computer Science                               1     33.3%
15    Consulting experience                          1     33.3%
16    Data storytelling and strategic guidance       1     33.3%
17    Data visualization tools (Looker, PowerB       1     33.3%
18    Economics                                      1     33.3%
19    English fluency                                1     33.3%
20    Excel                                          1     33.3%
